"","x"
"1","PKHD1"
"2","PTEN"
"3","BRCA2"
"4","KMT2C"
"5","PDGFC"
"6","MED12"
"7","TP53"
"8","ATRX"
"9","MYH9"
"10","NSD1"
"11","ROBO1"
"12","PIK3CA"
"13","BCL6"
"14","NOTCH1"
"15","STK11"
"16","MYH7"
"17","SPTAN1"
"18","TIAM1"
"19","CREBBP"
"20","CUBN"
"21","FBXW7"
"22","MYH6"
"23","RUNX1T1"
"24","CSF1R"
"25","EPHA4"
"26","FANCA"
"27","FANCL"
"28","NFE2L2"
"29","PRKDC"
"30","BAP1"
"31","CYP2C9"
"32","EGFR"
"33","EPHB6"
"34","KMT2D"
"35","MTOR"
"36","MYH11"
"37","TSC2"
"38","MYH8"
"39","SETD2"
"40","AFF3"
"41","APC"
"42","CDK12"
"43","HGF"
"44","MET"
"45","NOTCH2"
"46","NOTCH3"
"47","PALB2"
"48","RB1"
"49","RNF213"
"50","SGK3"
"51","TTLL7"
"52","MYH1"
"53","PBRM1"
"54","POU3F2"
"55","ERCC6"
"56","LRP1B"
"57","ARID1A"
"58","CBLB"
"59","COL1A2"
"60","EZH2"
"61","MTHFR"
"62","TSC1"
"63","PARK2"
"64","ALK"
"65","ATM"
"66","CACNA1B"
"67","DICER1"
"68","EP300"
"69","FANCI"
"70","ADAMTSL3"
"71","ERBB3"
"72","LPHN2"
"73","SMARCA4"
"74","CIC"
"75","EPHA5"
"76","FLT1"
"77","MAML3"
"78","MYH2"
"79","XPO1"
"80","FLT4"
"81","SYNE1"
"82","AR"
"83","JAK2"
"84","ASXL1"
"85","GUCY1A2"
"86","PIK3CG"
"87","ARID5B"
"88","PTPRD"
"89","CACNA1A"
"90","COL2A1"
"91","FGFR1"
"92","FUBP1"
"93","FANCM"
"94","LPHN3"
"95","BNC2"
"96","AMER1"
"97","ZBTB16"
"98","LRP2"
"99","MLLT4"
"100","TERT"
"101","TGFBR2"
"102","BUB1B"
"103","KIAA1549"
"104","NTRK3"
"105","ABL1"
"106","NF2"
"107","TET2"
"108","AKT3"
"109","PIK3R1"
"110","LIFR"
"111","WT1"
"112","CARD11"
"113","DLC1"
"114","MAP3K9"
"115","SPECC1"
"116","CHUK"
"117","FANCB"
"118","AURKA"
"119","DDX5"
"120","DNMT3A"
"121","IKZF1"
"122","MAGI3"
"123","MYH13"
"124","PTCH1"
"125","RICTOR"
"126","ROBO2"
"127","ACSL3"
"128","ATR"
"129","KDM6A"
"130","MYH14"
"131","NF1"
"132","PPP2R1A"
"133","CDH2"
"134","BRAF"
"135","ERBB4"
"136","ABCB1"
"137","ARID2"
"138","DPYD"
"139","KDR"
"140","MAP3K1"
"141","KMT2A"
"142","SLCO1B1"
"143","TRIM24"
"144","PREX2"
"145","EPHB1"
"146","EPHA7"
"147","PAK7"
"148","FSCB"
"149","ABCC4"
"150","SF3B1"
"151","FGFR2"
"152","EPHA3"
"153","TET1"
"154","MUC2"
"155","KIT"
"156","JAK1"
"157","FLT3"
"158","GPC3"
"159","MAGI2"
"160","BRIP1"
"161","CDKN2A"
"162","SLC8A1"
"163","HSP90AA1"
"164","PMS1"
"165","CTNNB1"
"166","EPHA1"
"167","SMARCB1"
"168","PFAS"
"169","XPC"
"170","ABCG2"
"171","DLX6"
"172","NTRK2"
"173","ERCC4"
"174","ZIC4"
"175","ACSL6"
"176","CLTC"
"177","ATXN1"
"178","UMPS"
"179","IKBKE"
"180","AXL"
"181","DNMT1"
"182","MSH6"
"183","MYH4"
"184","WRN"
"185","SLC22A2"
"186","ARNT"
"187","CDH1"
"188","PRKCZ"
"189","MMP27"
"190","MUTYH"
"191","KEAP1"
"192","BIRC3"
"193","CHEK1"
"194","CYP2C19"
"195","MCL1"
"196","SLC8A2"
"197","ACVR1B"
"198","NBN"
"199","EPHB4"
"200","PMS2"
"201","ETV1"
